,Census Tract,Total Population,ZIP,Longitude,Latitude
3455,6001433600,5978,94579,-122.1437942,37.6860081
3457,6037403600,6672,91724,-117.8613457,34.0753742
3458,6075011700,1783,94108,-122.4034859,37.7904674
3459,6085503703,4271,95116,-121.8394637,37.3456739
3460,6037920030,5818,91351,-118.4898281,34.4151371
3461,6115040700,10879,95961,-121.5531096,39.017754
3462,6085504802,5242,94089,-121.9911728,37.4003921
3463,6077005403,5875,95376,-121.4450292,37.7328505
3464,6065045704,2804,92236,-116.1823835,33.6712436
3465,6001437500,4528,94544,-122.0793899,37.644034
3466,6071002034,13758,91739,-117.5244995,34.1192063
3467,6073015301,3179,92020,-116.9579853,32.7840225
3468,6077005208,5784,95376,-121.4337996,37.7200089
3469,6037271901,3087,90066,-118.4246723,34.0128357
3470,6059076205,6847,92867,-117.8488281,33.8051326
3471,6037111201,3410,91344,-118.5101489,34.2748338
3472,6037400304,6714,91773,-117.7979719,34.1049693
3473,6083002403,6811,93458,-120.4447531,34.9496291
3474,6065040611,7640,92880,-117.5886851,33.9608636
3475,6067002900,4499,95820,-121.4347594,38.5428857
3476,6067009320,4336,95828,-121.40334,38.4604865
3477,6029000903,3653,93306,-118.9550626,35.4034052
3478,6037900606,3721,93535,-118.1244376,34.7004762
3479,6029000904,4008,93306,-118.9584296,35.3894623
3480,6037141303,3089,91403,-118.4552476,34.1549353
3481,6065040604,5541,91752,-117.531606,33.9861154
3482,6037195902,1905,90026,-118.2791664,34.0871531
3483,6037109700,4493,91344,-118.4808881,34.2619343
3484,6065040302,7308,92509,-117.4427988,33.9933691
3485,6059074006,5555,92707,-117.8817476,33.6980366
3486,6059075003,7408,92706,-117.8707228,33.7572599
3487,6097151402,9177,95407,-122.701255,38.3933392
3488,6077003203,3519,95207,-121.336835,38.0173661
3489,6071007410,5519,92346,-117.2108868,34.13216
3490,6073004501,2875,92102,-117.1381735,32.717632
3491,6059075512,3548,92780,-117.8214885,33.7329217
3492,6037910201,3549,93551,-118.1350954,34.615092
3493,6085500901,3723,95192,-121.8840872,37.3351796
3494,6059076102,7487,92868,-117.892793,33.7825729
