Census_Tract,Asthma,Low_Birth_Weight,Cardiovascular_Disease,Poverty,Unemployment,Traffic
6037603102,63.55,6.25,8.21,46.1,10.1,912.95
6037533602,46.79,5.0,9.77,64.6,12.1,904.07
6037502902,57.85,5.21,10.78,54.1,11.4,575.37
6071004103,77.91,5.43,10.12,73.0,20.3,814.47
6071000301,72.01,5.11,12.49,68.6,3.4,474.3
6071003301,72.65,5.78,12.75,57.5,6.6,1537.65
6019003809,93.23,8.47,11.4,52.1,17.5,864.54
6037542200,82.68,5.33,12.72,56.7,17.7,1834.1
6037502302,62.27,2.62,14.02,58.8,12.5,665.28
6039000502,92.25,5.33,12.8,67.9,5.1,702.29
6019008302,86.58,5.74,13.01,87.0,25.0,273.85
6037240900,80.9,8.04,9.32,72.7,15.3,806.62
6037294120,70.22,5.31,10.57,58.0,12.3,766.97
6037241002,77.55,7.46,8.96,61.9,22.7,3801.82
6099002401,88.11,3.46,12.6,50.6,21.5,534.07
6037241202,89.18,8.0,10.09,69.1,11.7,3690.19
6037123020,65.77,6.59,7.35,43.8,9.6,1064.22
6037120300,95.82,8.54,10.64,42.7,9.0,1406.18
6071004201,148.88,6.82,14.7,68.7,23.3,505.0
6037207102,29.02,6.96,4.77,74.6,9.6,1384.18
6037535604,46.23,4.49,11.83,67.2,14.7,1132.18
6071006500,84.31,5.15,11.22,82.3,16.0,520.28
6037533105,59.19,6.77,11.02,82.8,15.9,924.39
6067005205,64.34,6.8,10.13,63.8,15.6,1443.8
6037120020,81.11,5.92,9.22,69.7,13.4,1384.37
6099003100,61.02,5.13,9.09,52.8,16.6,202.59
6037402402,54.87,6.66,7.92,39.9,10.2,881.86
6037532001,41.43,7.64,8.26,62.9,9.5,650.08
6037405001,62.29,5.68,10.58,41.7,11.0,471.79
6037533805,48.15,6.27,10.08,61.0,14.9,1463.7
6037534203,44.76,4.55,9.38,61.6,9.9,634.38
6047001301,171.52,8.13,17.97,59.8,9.8,813.8
6037534803,52.82,7.1,9.99,59.7,14.9,940.34
6065042904,57.34,5.71,13.24,67.4,19.3,989.49
6037532606,59.19,6.25,11.02,77.1,15.2,895.63
6037533601,43.01,5.73,8.93,68.1,10.9,941.91
6037123205,62.29,5.17,11.45,51.1,8.7,989.18
6037209103,61.92,7.57,6.19,88.7,7.8,1047.26
6013379000,160.81,7.74,10.73,50.9,16.4,424.6
6037291300,60.47,7.61,9.11,19.0,3.4,2462.83
6037121900,63.37,6.75,10.32,41.1,4.3,1706.33
6037540600,54.14,7.49,6.49,69.1,19.4,2071.43
6107002901,78.57,5.6,11.71,73.7,14.1,603.2
6037186401,69.42,5.85,7.73,58.2,9.9,1976.1
6037533103,59.19,5.23,11.02,74.5,18.6,963.91
6037432802,42.62,5.14,7.55,70.6,19.7,2198.83
6013312000,150.18,6.09,14.45,61.0,16.4,1192.72
6037191000,75.54,5.56,11.51,51.4,10.6,2554.29
6071000904,71.59,8.82,10.62,48.2,9.3,2328.65
6037226700,63.52,6.89,9.63,78.2,10.0,714.75
6065040101,54.21,4.76,11.91,53.6,6.0,1385.5
6099001900,86.66,4.95,12.58,39.8,15.8,821.64
6037226410,63.52,5.11,9.63,75.9,11.3,971.12
6037226420,63.52,5.52,9.63,72.9,11.7,920.81
6037533202,52.49,5.85,9.83,49.1,14.4,991.6
6077001800,87.92,4.17,12.16,64.0,20.0,1191.3
6065041600,39.86,4.19,12.32,65.5,6.7,1865.54
6067002200,71.28,5.83,10.29,59.4,16.8,1490.4
6037240600,89.86,6.87,12.4,67.9,22.0,839.59
6037123303,57.91,5.64,10.23,55.2,9.9,1645.29
6099002002,49.38,4.89,11.28,66.6,23.0,478.8
6037540902,80.21,6.51,10.11,49.9,15.2,608.86
6037541200,95.09,6.08,10.93,41.3,11.1,738.39
6019004205,66.06,7.41,7.66,60.9,12.3,792.98
6037402301,77.44,5.53,9.0,54.8,10.0,2587.02
6037241400,104.45,7.28,13.23,75.9,10.3,4008.29
6071001503,61.68,4.91,10.24,73.8,13.5,755.39
6037603302,66.5,6.36,8.55,48.1,14.9,881.38
6037127605,74.19,5.57,10.44,62.3,8.9,1554.01
6037432700,49.43,4.58,8.61,63.6,17.9,1190.07
6037433902,49.82,5.18,6.6,55.9,17.3,832.25
6037553602,57.83,6.24,10.87,55.1,9.4,1542.92
6037218400,75.33,5.41,7.69,59.0,10.3,3633.14
6037433501,54.75,6.32,8.87,74.0,3.8,903.73
6037228600,63.52,7.03,9.63,84.1,10.7,968.03
6037570602,87.58,6.7,10.71,45.5,13.5,622.83
6037543201,110.81,10.56,12.82,57.2,17.2,586.35
6019001407,66.22,7.15,9.41,76.4,21.1,381.23
6037531902,59.16,6.6,11.44,49.8,11.3,640.12
6037232700,85.58,6.36,9.81,74.0,12.6,4117.61
6037291120,47.62,8.22,6.02,61.1,16.4,2920.44
6037531702,62.41,4.9,12.06,61.2,12.8,1993.72
6037542104,87.61,7.06,13.56,47.6,14.5,2040.3
6077003803,34.27,5.64,5.27,60.8,15.1,854.94
6065041203,59.41,8.09,12.45,51.1,13.6,420.35
